PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,male,22,1,0,7.25,,1
2,1,1,female,38,1,0,71.2833,C85,3
3,1,3,female,26,0,0,7.925,,1
4,1,1,female,35,1,0,53.1,C123,1
5,0,3,male,35,0,0,8.05,,1
6,0,3,male,,0,0,8.4583,,2
7,0,1,male,54,0,0,51.8625,E46,1
8,0,3,male,2,3,1,21.075,,1
9,1,3,female,27,0,2,11.1333,,1
10,1,2,female,14,1,0,30.0708,,3
11,1,3,female,4,1,1,16.7,G6,1
12,1,1,female,58,0,0,26.55,C103,1
13,0,3,male,20,0,0,8.05,,1
14,0,3,male,39,1,5,31.275,,1
15,0,3,female,14,0,0,7.8542,,1
16,1,2,female,55,0,0,16,,1
17,0,3,male,2,4,1,29.125,,2
18,1,2,male,,0,0,13,,1
19,0,3,female,31,1,0,18,,1
20,1,3,female,,0,0,7.225,,3
21,0,2,male,35,0,0,26,,1
22,1,2,male,34,0,0,13,D56,1
23,1,3,female,15,0,0,8.0292,,2
24,1,1,male,28,0,0,35.5,A6,1
25,0,3,female,8,3,1,21.075,,1
26,1,3,female,38,1,5,31.3875,,1
27,0,3,male,,0,0,7.225,,3
28,0,1,male,19,3,2,263,C23 C25 C27,1
29,1,3,female,,0,0,7.8792,,2
30,0,3,male,,0,0,7.8958,,1
31,0,1,male,40,0,0,27.7208,,3
32,1,1,female,,1,0,146.5208,B78,3
33,1,3,female,,0,0,7.75,,2
34,0,2,male,66,0,0,10.5,,1
35,0,1,male,28,1,0,82.1708,,3
36,0,1,male,42,1,0,52,,1
37,1,3,male,,0,0,7.2292,,3
38,0,3,male,21,0,0,8.05,,1
39,0,3,female,18,2,0,18,,1
40,1,3,female,14,1,0,11.2417,,3
41,0,3,female,40,1,0,9.475,,1
42,0,2,female,27,1,0,21,,1
43,0,3,male,,0,0,7.8958,,3
44,1,2,female,3,1,2,41.5792,,3
45,1,3,female,19,0,0,7.8792,,2
46,0,3,male,,0,0,8.05,,1
47,0,3,male,,1,0,15.5,,2
48,1,3,female,,0,0,7.75,,2
49,0,3,male,,2,0,21.6792,,3
50,0,3,female,18,1,0,17.8,,1
51,0,3,male,7,4,1,39.6875,,1
52,0,3,male,21,0,0,7.8,,1
53,1,1,female,49,1,0,76.7292,D33,3
54,1,2,female,29,1,0,26,,1
55,0,1,male,65,0,1,61.9792,B30,3
56,1,1,male,,0,0,35.5,C52,1
57,1,2,female,21,0,0,10.5,,1
