PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,0,22,1,0,7.25,NaN,1
2,1,1,1,38,1,0,71.2833,C85,3
3,1,3,1,26,0,0,7.925,NaN,1
4,1,1,1,35,1,0,53.1,C123,1
5,0,3,0,35,0,0,8.05,NaN,1
6,0,3,0,NaN,0,0,8.4583,NaN,2
7,0,1,0,54,0,0,51.8625,E46,1
8,0,3,0,2,3,1,21.075,NaN,1
9,1,3,1,27,0,2,11.1333,NaN,1
10,1,2,1,14,1,0,30.0708,NaN,3
11,1,3,1,4,1,1,16.7,G6,1
12,1,1,1,58,0,0,26.55,C103,1
13,0,3,0,20,0,0,8.05,NaN,1
14,0,3,0,39,1,5,31.275,NaN,1
15,0,3,1,14,0,0,7.8542,NaN,1
16,1,2,1,55,0,0,16,NaN,1
17,0,3,0,2,4,1,29.125,NaN,2
18,1,2,0,NaN,0,0,13,NaN,1
19,0,3,1,31,1,0,18,NaN,1
20,1,3,1,NaN,0,0,7.225,NaN,3
21,0,2,0,35,0,0,26,NaN,1
22,1,2,0,34,0,0,13,D56,1
23,1,3,1,15,0,0,8.0292,NaN,2
24,1,1,0,28,0,0,35.5,A6,1
25,0,3,1,8,3,1,21.075,NaN,1
26,1,3,1,38,1,5,31.3875,NaN,1
27,0,3,0,NaN,0,0,7.225,NaN,3
28,0,1,0,19,3,2,263,C23 C25 C27,1
29,1,3,1,NaN,0,0,7.8792,NaN,2
30,0,3,0,NaN,0,0,7.8958,NaN,1
31,0,1,0,40,0,0,27.7208,NaN,3
32,1,1,1,NaN,1,0,146.5208,B78,3
33,1,3,1,NaN,0,0,7.75,NaN,2
34,0,2,0,66,0,0,10.5,NaN,1
35,0,1,0,28,1,0,82.1708,NaN,3
36,0,1,0,42,1,0,52,NaN,1
37,1,3,0,NaN,0,0,7.2292,NaN,3
38,0,3,0,21,0,0,8.05,NaN,1
39,0,3,1,18,2,0,18,NaN,1
40,1,3,1,14,1,0,11.2417,NaN,3
41,0,3,1,40,1,0,9.475,NaN,1
42,0,2,1,27,1,0,21,NaN,1
43,0,3,0,NaN,0,0,7.8958,NaN,3
44,1,2,1,3,1,2,41.5792,NaN,3
45,1,3,1,19,0,0,7.8792,NaN,2
46,0,3,0,NaN,0,0,8.05,NaN,1
47,0,3,0,NaN,1,0,15.5,NaN,2
48,1,3,1,NaN,0,0,7.75,NaN,2
49,0,3,0,NaN,2,0,21.6792,NaN,3
50,0,3,1,18,1,0,17.8,NaN,1
51,0,3,0,7,4,1,39.6875,NaN,1
52,0,3,0,21,0,0,7.8,NaN,1
53,1,1,1,49,1,0,76.7292,D33,3
54,1,2,1,29,1,0,26,NaN,1
55,0,1,0,65,0,1,61.9792,B30,3
56,1,1,0,NaN,0,0,35.5,C52,1
57,1,2,1,21,0,0,10.5,NaN,1
58,0,3,0,28.5,0,0,7.2292,NaN,3
59,1,2,1,5,1,2,27.75,NaN,1
60,0,3,0,11,5,2,46.9,NaN,1
61,0,3,0,22,0,0,7.2292,NaN,3
62,1,1,1,38,0,0,80,B28,
63,0,1,0,45,1,0,83.475,C83,1
64,0,3,0,4,3,2,27.9,NaN,1
65,0,1,0,NaN,0,0,27.7208,NaN,3
66,1,3,0,NaN,1,1,15.2458,NaN,3
67,1,2,1,29,0,0,10.5,F33,1
68,0,3,0,19,0,0,8.1583,NaN,1
69,1,3,1,17,4,2,7.925,NaN,1
70,0,3,0,26,2,0,8.6625,NaN,1
71,0,2,0,32,0,0,10.5,NaN,1
72,0,3,1,16,5,2,46.9,NaN,1
73,0,2,0,21,0,0,73.5,NaN,1
74,0,3,0,26,1,0,14.4542,NaN,3
75,1,3,0,32,0,0,56.4958,NaN,1
76,0,3,0,25,0,0,7.65,F G73,1
